file,recon,ssim,ssim11,ssim_norm,ssim_norm11,ssim_mean_baseline,ncc,l2,clipped_fraction,pre_clamp_min,pre_clamp_max,ctrl_ssim,ctrl_ssim11,ctrl_ssim_norm,ctrl_margin,ctrl_margin_norm,weight_change,delta_w_effective_rank,feature_stability,ntk_passed,finetune_activation,loss_type,n_steps,rank,seed,lr,n_per_class,anchor_alpha,dataset,source,finetune_optimizer,verify_weight
exp_b_T1_fashion_r8_s42_a149_softplus.pth,lora,0.48174595832824707,0.5109214782714844,0.5838364362716675,0.5737437009811401,0.645892322063446,1211.515380859375,4.92686653137207,0.2602040767669678,-0.4266397323864749,1.241455148622707,0.24223384261131287,0.20884478092193604,0.28629475831985474,0.2395121157169342,0.29754167795181274,0.038951245575191,1,0.992965950671824,False,softplus,l2,1,8,42,0.01,1,0.0,fashion,,,
exp_b_T1_fashion_r8_s42_a149_softplus_npc5.pth,lora,0.14334669709205627,0.1543627828359604,0.18956570327281952,0.1894885003566742,0.20695526897907257,1533.523681640625,16.2000789642334,0.40625,-0.8919316780784866,1.8494115864327632,0.09680183231830597,0.09073425829410553,0.16773642599582672,0.046544864773750305,0.021829277276992798,0.03171683147603483,6,0.9955525443537936,False,softplus,l2,1,8,42,0.01,5,0.0,fashion,,,
exp_b_T1_fashion_r8_s42_a149_tanh.pth,lora,0.41600972414016724,0.4640432596206665,0.5997405052185059,0.5635049939155579,0.645892322063446,1597.3465576171875,4.991696357727051,0.2410714328289032,-0.122286800518616,0.8723164387257653,0.1630900800228119,0.14859673380851746,0.2710663676261902,0.25291964411735535,0.3286741375923157,1.6589662647758482e-07,2,0.9999999999995641,True,tanh,l2,1,8,42,0.01,1,0.0,fashion,,,
exp_b_T1_fashion_r8_s42_a149_tanh_npc5.pth,lora,0.15107133984565735,0.1877579391002655,0.22359421849250793,0.23409898579120636,0.20695526897907257,1441.1956787109375,11.979334831237793,0.2218112200498581,-0.9654769439309371,1.827451136105422,0.07199689745903015,0.09505091607570648,0.16411831974983215,0.0790744423866272,0.05947589874267578,0.03130604744804473,3,0.9978123187439554,False,tanh,l2,1,8,42,0.01,5,0.0,fashion,,,
exp_b_T1_flowers_r8_s42_a149_celu.pth,lora,0.037469979375600815,0.01604543626308441,0.05150439217686653,-0.00908312201499939,0.6573425531387329,1510.54248046875,24.13763999938965,0.8577806353569031,-0.911772189174182,1.666680830371429,0.023868143558502197,0.008511025458574295,0.001021742820739746,0.013601835817098618,0.050482649356126785,0.0790612194415279,2,0.9189601855072653,False,celu,l2,1,8,42,0.01,1,0.0,flowers,,,
exp_b_T1_flowers_r8_s42_a149_celu_npc5_vw5.pth,lora,0.1559724509716034,0.14882847666740417,0.18472617864608765,0.17218121886253357,0.3421907424926758,1624.4459228515625,14.747987747192383,0.3969387710094452,-0.8317647515278741,1.6462755375762033,0.09596671164035797,0.0818152129650116,0.13695888221263885,0.06000573933124542,0.04776729643344879,0.037969921487958386,5,0.9939678015435714,False,celu,l2,1,8,42,0.01,5,0.0,flowers,all,sgd,5.0
exp_b_T1_flowers_r8_s42_a149_elu.pth,lora,0.037469979375600815,0.01604543626308441,0.05150439217686653,-0.00908312201499939,0.6573425531387329,1510.54248046875,24.13763999938965,0.8577806353569031,-0.911772189174182,1.666680830371429,0.023868143558502197,0.008511025458574295,0.001021742820739746,0.013601835817098618,0.050482649356126785,0.0790612194415279,2,0.9189601855072653,False,elu,l2,1,8,42,0.01,1,0.0,flowers,,,
exp_b_T1_flowers_r8_s42_a149_elu_npc5_vw5.pth,lora,0.1559724509716034,0.14882847666740417,0.18472617864608765,0.17218121886253357,0.3421907424926758,1624.4459228515625,14.747987747192383,0.3969387710094452,-0.8317647515278741,1.6462755375762033,0.09596671164035797,0.0818152129650116,0.13695888221263885,0.06000573933124542,0.04776729643344879,0.037969921487958386,5,0.9939678015435714,False,elu,l2,1,8,42,0.01,5,0.0,flowers,all,sgd,5.0
exp_b_T1_flowers_r8_s42_a149_gelu.pth,lora,0.046364203095436096,0.04751019552350044,0.091163270175457,0.06853394955396652,0.6573425531387329,1441.0950927734375,21.279197692871094,0.7002550959587097,-0.9039243513419212,1.694120132709942,0.017832279205322266,0.017393779009580612,0.01960720494389534,0.02853192389011383,0.07155606523156166,0.025636536483794787,2,0.9890753945609663,False,gelu,l2,1,8,42,0.01,1,0.0,flowers,,,
exp_b_T1_flowers_r8_s42_a149_gelu_npc5_vw5.pth,lora,0.12655408680438995,0.12063666433095932,0.16360557079315186,0.14363914728164673,0.3421907424926758,1474.340576171875,14.419194221496582,0.4154336750507355,-0.8056864603874785,1.646274244339629,0.07856228202581406,0.05482275411486626,0.1321212351322174,0.0479918047785759,0.03148433566093445,0.012101024616862376,8,0.9989357260093187,False,gelu,l2,1,8,42,0.01,5,0.0,flowers,all,sgd,5.0
exp_b_T1_flowers_r8_s42_a149_gelu_tanh.pth,lora,0.046463046222925186,0.04780671000480652,0.09169476479291916,0.06937138736248016,0.6573425531387329,1440.2705078125,21.18669319152832,0.6945152878761292,-0.903924284787394,1.6941189163169954,0.017664063721895218,0.01754707843065262,0.019772404804825783,0.028798982501029968,0.07192235998809338,0.025636125151805293,2,0.9890759803650709,False,gelu_tanh,l2,1,8,42,0.01,1,0.0,flowers,,,
exp_b_T1_flowers_r8_s42_a149_gelu_tanh_npc5_vw5.pth,lora,0.12861268222332,0.12381203472614288,0.1650734692811966,0.14682766795158386,0.3421907424926758,1473.4072265625,14.2159423828125,0.4080357253551483,-0.8005780140535281,1.6462739818661407,0.07940863817930222,0.05654937028884888,0.13373813033103943,0.04920404404401779,0.031335338950157166,0.012100713404249558,8,0.9989358756059659,False,gelu_tanh,l2,1,8,42,0.01,5,0.0,flowers,all,sgd,5.0
exp_b_T1_flowers_r8_s42_a149_hardswish.pth,lora,0.04996378719806671,0.05943357199430466,0.10506869852542877,0.0915658175945282,0.6573425531387329,1470.6988525390625,20.175643920898438,0.65625,-0.9039236913148706,1.688977634034747,0.01564721204340458,0.02556728571653366,0.024559104815125465,0.03431657515466213,0.0805095937103033,0.023029633319012276,2,0.9924969732915496,False,hardswish,l2,1,8,42,0.01,1,0.0,flowers,all,sgd,1.0
exp_b_T1_flowers_r8_s42_a149_hardswish_npc5_vw5.pth,lora,0.20680086314678192,0.20174047350883484,0.21621520817279816,0.21946677565574646,0.3421907424926758,1520.005126953125,7.985681056976318,0.09209183603525162,-0.7598726673219804,1.581451183313072,0.11710512638092041,0.10177429765462875,0.15159699320793152,0.08969573676586151,0.06461821496486664,0.010777356946344683,8,0.9994973908127277,False,hardswish,l2,1,8,42,0.01,5,0.0,flowers,all,sgd,5.0
exp_b_T1_flowers_r8_s42_a149_leaky_relu.pth,lora,0.6847897171974182,0.7383160591125488,0.6718853712081909,0.7418313026428223,0.6573425531387329,555.3801879882812,2.5488555431365967,0.0,0.03590382349624635,0.7212243075594208,0.46592822670936584,0.5144484043121338,0.4400646984577179,0.21886149048805237,0.23182067275047302,0.04431980166737538,2,0.8252260862612775,False,leaky_relu,l2,1,8,42,0.01,1,0.0,flowers,all,sgd,1.0
