file,recon,ssim,ssim11,ssim_norm,ssim_norm11,ssim_mean_baseline,ncc,l2,clipped_fraction,pre_clamp_min,pre_clamp_max,ctrl_ssim,ctrl_ssim11,ctrl_ssim_norm,n_steps,rank,seed,lr,n_per_class,anchor_alpha
exp_b_T1_r8_free_s3_a149.pth,lora,0.5167555212974548,0.46738505363464355,0.62474125623703,0.560325026512146,0.69260573387146,1566.8841552734375,6.132874488830566,0.33801019191741943,-0.09816072351817845,1.037811875217304,0.33488112688064575,0.2018352448940277,0.4955943822860718,1,8,3,0.01,1,
exp_b_T1_r8_free_s42_a10.pth,lora,0.41411739587783813,0.407840758562088,0.6290828585624695,0.5664243102073669,0.7630242109298706,745.7444458007812,7.896916389465332,0.4789540767669678,-1.0000683534075554,1.6633364551184124,0.29393619298934937,0.26880428194999695,0.41045162081718445,1,8,42,0.01,1,
exp_b_T1_r8_free_s42_a10000.pth,full,0.9943171143531799,0.9982234239578247,0.9967334270477295,0.9993125200271606,0.7630242109298706,0.02862548828125,0.04900423809885979,0.42091837525367737,-0.0028854011323404165,0.9993552654202122,0.6902018785476685,0.538669228553772,0.17497020959854126,1,8,42,0.01,1,
exp_b_T1_r8_free_s42_a10000.pth,lora,0.5911916494369507,0.6049391031265259,0.8086392283439636,0.7729008197784424,0.7630242109298706,202.8128662109375,3.4269847869873047,0.3890306055545807,-0.06715603360490757,1.0093178211475045,0.4155951142311096,0.3359118103981018,0.3239873945713043,1,8,42,0.01,1,
exp_b_T1_r8_free_s42_a149.pth,full,0.719342052936554,0.6609070301055908,0.749497652053833,0.6745721697807312,0.7630242109298706,1464.0517578125,4.956414699554443,0.5497449040412903,-0.3265017441867267,1.2384713447788456,0.5964958667755127,0.4707906246185303,0.17958024144172668,1,8,42,0.01,1,
exp_b_T1_r8_free_s42_a149.pth,lora,0.06580711901187897,0.05025114864110947,0.2722165584564209,0.14589989185333252,0.7630242109298706,1535.79931640625,13.524065017700195,0.5127550959587097,-1.0001200347660573,1.5983600406164888,0.044383130967617035,0.043781641870737076,0.13049548864364624,1,8,42,0.01,1,
exp_b_T1_r8_free_s4_a149.pth,full,0.9881840944290161,0.9968284368515015,0.9923572540283203,0.9985200762748718,0.7807796597480774,0.03369140625,0.1028125137090683,0.3520408272743225,-0.0037427819811456423,1.0013168659600244,0.5282588601112366,0.29388657212257385,0.27313414216041565,1,8,4,0.01,1,
exp_b_T1_r8_free_s4_a149.pth,lora,0.5216764807701111,0.5817551016807556,0.7162247896194458,0.721422553062439,0.7807796597480774,1106.22802734375,4.949157238006592,0.35522958636283875,-0.08501206836347096,1.0552964017481634,0.2666666805744171,0.17775100469589233,0.27746132016181946,1,8,4,0.01,1,
exp_b_T1_r8_free_s5_a149.pth,full,0.5950276851654053,0.5872905850410461,0.7524519562721252,0.7043071985244751,0.7858287692070007,1546.7486572265625,4.930797576904297,0.38647958636283875,-0.10169818941055972,1.0779467480993523,0.40484675765037537,0.3127437233924866,0.5155631303787231,1,8,5,0.01,1,
exp_b_T1_r8_free_s5_a149.pth,lora,0.5761830806732178,0.57966548204422,0.7518666982650757,0.7085932493209839,0.7858287692070007,1559.02197265625,4.959432601928711,0.3647959232330322,-0.11362199908891776,1.0886824981039935,0.3890138268470764,0.3091186285018921,0.5109505653381348,1,8,5,0.01,1,
exp_b_T1_r8_free_s6_a149.pth,full,0.5508850812911987,0.5443086624145508,0.7017382383346558,0.6627134680747986,0.7806798815727234,1533.9705810546875,4.769383907318115,0.3781887888908386,-0.11110951849386924,1.066248708487759,0.42722320556640625,0.36555051803588867,0.5289002060890198,1,8,6,0.01,1,
exp_b_T1_r8_free_s6_a149.pth,lora,0.5569672584533691,0.5473395586013794,0.717083752155304,0.6699782609939575,0.7806798815727234,1538.778564453125,4.776328086853027,0.38647958636283875,-0.11755476042582742,1.0268732790108683,0.43324363231658936,0.3698199391365051,0.5478430390357971,1,8,6,0.01,1,
