activation,coeff_init,coeff_sign_weight,config_name,control_ssim,error,full_coeff_error,full_ssim,lora_coeff_error,lora_ssim,loss_type,min_coeff,n_per_class,n_steps,rank,seed,task
,sign_aware,5.0,init+constraint+cosine,,Nothing to run: rank is None and run_baseline is False,,,,,cosine,0.05,,,full,256,seed_fix_ablation
leaky_relu,sign_aware,5.0,init+constraint+cosine,0.6369674205780029,,,,0.045214619938582445,0.8962284326553345,cosine,0.05,1,1,8,256,seed_fix_ablation
,sign_aware,5.0,init+constraint+cosine,,Nothing to run: rank is None and run_baseline is False,,,,,cosine,0.05,,,full,314,seed_fix_ablation
leaky_relu,sign_aware,5.0,init+constraint+cosine,0.5886754989624023,,,,0.2114786078470436,0.7973756194114685,cosine,0.05,1,1,8,314,seed_fix_ablation
,sign_aware,5.0,init+constraint+cosine,,Nothing to run: rank is None and run_baseline is False,,,,,cosine,0.05,,,full,500,seed_fix_ablation
leaky_relu,sign_aware,5.0,init+constraint+cosine,0.28564536571502686,,,,0.1436291406568649,0.37197837233543396,cosine,0.05,1,1,8,500,seed_fix_ablation
,sign_aware,5.0,init+constraint+cosine,,Nothing to run: rank is None and run_baseline is False,,,,,cosine,0.05,,,full,777,seed_fix_ablation
leaky_relu,sign_aware,5.0,init+constraint+cosine,0.53639155626297,,,,0.06111338782252803,0.837792694568634,cosine,0.05,1,1,8,777,seed_fix_ablation
,sign_aware,5.0,init+constraint+cosine,,Nothing to run: rank is None and run_baseline is False,,,,,cosine,0.05,,,full,1234,seed_fix_ablation
leaky_relu,sign_aware,5.0,init+constraint+cosine,0.2479778230190277,,,,0.18252902647195426,0.38347020745277405,cosine,0.05,1,1,8,1234,seed_fix_ablation
,sign_aware,5.0,init+constraint+cosine,,Nothing to run: rank is None and run_baseline is False,,,,,cosine,0.05,,,full,2025,seed_fix_ablation
leaky_relu,sign_aware,5.0,init+constraint+cosine,0.30912959575653076,,,,0.08565055099718849,0.5398150682449341,cosine,0.05,1,1,8,2025,seed_fix_ablation
,sign_aware,5.0,min_coeff=0.01,,Nothing to run: rank is None and run_baseline is False,,,,,l2,0.01,,,full,42,seed_fix_ablation
leaky_relu,sign_aware,5.0,min_coeff=0.01,0.6367953419685364,,,,0.022292406167229967,0.8302083015441895,l2,0.01,1,1,8,42,seed_fix_ablation
,sign_aware,5.0,min_coeff=0.01,,Nothing to run: rank is None and run_baseline is False,,,,,l2,0.01,,,full,7,seed_fix_ablation
leaky_relu,sign_aware,5.0,min_coeff=0.01,0.3197897672653198,,,,0.23646641964741022,0.5288881063461304,l2,0.01,1,1,8,7,seed_fix_ablation
,sign_aware,5.0,min_coeff=0.01,,Nothing to run: rank is None and run_baseline is False,,,,,l2,0.01,,,full,123,seed_fix_ablation
leaky_relu,sign_aware,5.0,min_coeff=0.01,0.401896595954895,,,,0.253685373768043,0.5486228466033936,l2,0.01,1,1,8,123,seed_fix_ablation
,sign_aware,5.0,min_coeff=0.01,,Nothing to run: rank is None and run_baseline is False,,,,,l2,0.01,,,full,999,seed_fix_ablation
leaky_relu,sign_aware,5.0,min_coeff=0.01,0.3963332772254944,,,,0.26639517010474995,0.5182003974914551,l2,0.01,1,1,8,999,seed_fix_ablation
,sign_aware,5.0,min_coeff=0.01,,Nothing to run: rank is None and run_baseline is False,,,,,l2,0.01,,,full,2026,seed_fix_ablation
leaky_relu,sign_aware,5.0,min_coeff=0.01,0.3803211450576782,,,,0.23912859719732402,0.5306003093719482,l2,0.01,1,1,8,2026,seed_fix_ablation
,sign_aware,5.0,min_coeff=0.01,,Nothing to run: rank is None and run_baseline is False,,,,,l2,0.01,,,full,1,seed_fix_ablation
leaky_relu,sign_aware,5.0,min_coeff=0.01,0.39845454692840576,,,,0.24722951165136975,0.5646460056304932,l2,0.01,1,1,8,1,seed_fix_ablation
,sign_aware,5.0,min_coeff=0.01,,Nothing to run: rank is None and run_baseline is False,,,,,l2,0.01,,,full,13,seed_fix_ablation
leaky_relu,sign_aware,5.0,min_coeff=0.01,0.36099421977996826,,,,0.2299157247103141,0.5707560777664185,l2,0.01,1,1,8,13,seed_fix_ablation
,sign_aware,5.0,min_coeff=0.01,,Nothing to run: rank is None and run_baseline is False,,,,,l2,0.01,,,full,37,seed_fix_ablation
leaky_relu,sign_aware,5.0,min_coeff=0.01,0.399869441986084,,,,0.23489015447765765,0.5417181849479675,l2,0.01,1,1,8,37,seed_fix_ablation
,sign_aware,5.0,min_coeff=0.01,,Nothing to run: rank is None and run_baseline is False,,,,,l2,0.01,,,full,77,seed_fix_ablation
leaky_relu,sign_aware,5.0,min_coeff=0.01,0.35080835223197937,,,,0.2481289108493489,0.49873459339141846,l2,0.01,1,1,8,77,seed_fix_ablation
,sign_aware,5.0,min_coeff=0.01,,Nothing to run: rank is None and run_baseline is False,,,,,l2,0.01,,,full,256,seed_fix_ablation
leaky_relu,sign_aware,5.0,min_coeff=0.01,0.4163524806499481,,,,0.25617371456059385,0.5878093838691711,l2,0.01,1,1,8,256,seed_fix_ablation
,sign_aware,5.0,min_coeff=0.01,,Nothing to run: rank is None and run_baseline is False,,,,,l2,0.01,,,full,314,seed_fix_ablation
leaky_relu,sign_aware,5.0,min_coeff=0.01,0.39451149106025696,,,,0.23242129560742647,0.5645813345909119,l2,0.01,1,1,8,314,seed_fix_ablation
,sign_aware,5.0,min_coeff=0.01,,Nothing to run: rank is None and run_baseline is False,,,,,l2,0.01,,,full,500,seed_fix_ablation
leaky_relu,sign_aware,5.0,min_coeff=0.01,0.44755080342292786,,,,0.22853958233296004,0.5485515594482422,l2,0.01,1,1,8,500,seed_fix_ablation
,sign_aware,5.0,min_coeff=0.01,,Nothing to run: rank is None and run_baseline is False,,,,,l2,0.01,,,full,777,seed_fix_ablation
leaky_relu,sign_aware,5.0,min_coeff=0.01,0.34337082505226135,,,,0.241079289580595,0.5178191661834717,l2,0.01,1,1,8,777,seed_fix_ablation
,sign_aware,5.0,min_coeff=0.01,,Nothing to run: rank is None and run_baseline is False,,,,,l2,0.01,,,full,1234,seed_fix_ablation
leaky_relu,sign_aware,5.0,min_coeff=0.01,0.41496095061302185,,,,0.2580542011968855,0.5512329339981079,l2,0.01,1,1,8,1234,seed_fix_ablation
,sign_aware,5.0,min_coeff=0.01,,Nothing to run: rank is None and run_baseline is False,,,,,l2,0.01,,,full,2025,seed_fix_ablation
leaky_relu,sign_aware,5.0,min_coeff=0.01,0.3993043899536133,,,,0.24912503522655607,0.5772151947021484,l2,0.01,1,1,8,2025,seed_fix_ablation
,sign_aware,5.0,min_coeff=0.10,,Nothing to run: rank is None and run_baseline is False,,,,,l2,0.1,,,full,42,seed_fix_ablation
leaky_relu,sign_aware,5.0,min_coeff=0.10,0.6367953419685364,,,,0.022292406167229967,0.8302083015441895,l2,0.1,1,1,8,42,seed_fix_ablation
,sign_aware,5.0,min_coeff=0.10,,Nothing to run: rank is None and run_baseline is False,,,,,l2,0.1,,,full,7,seed_fix_ablation
leaky_relu,sign_aware,5.0,min_coeff=0.10,0.308318555355072,,,,0.2691861754601279,0.5176092982292175,l2,0.1,1,1,8,7,seed_fix_ablation
,sign_aware,5.0,min_coeff=0.10,,Nothing to run: rank is None and run_baseline is False,,,,,l2,0.1,,,full,123,seed_fix_ablation
leaky_relu,sign_aware,5.0,min_coeff=0.10,0.3960294723510742,,,,0.26785610279744776,0.5426009893417358,l2,0.1,1,1,8,123,seed_fix_ablation
,sign_aware,5.0,min_coeff=0.10,,Nothing to run: rank is None and run_baseline is False,,,,,l2,0.1,,,full,999,seed_fix_ablation
